freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.781e+01,5.266e+03,5.764e+01,5.401e+03
1.6,3.176e+02,5.164e+03,1.760e+02,5.658e+03
3.1,4.013e+02,2.244e+03,1.864e+02,2.832e+03
4.7,3.521e+02,3.493e+03,1.416e+02,3.987e+03
6.2,3.254e+02,7.181e+03,1.463e+02,7.652e+03
7.8,4.132e+02,1.002e+04,1.598e+02,1.060e+04
9.4,4.621e+02,1.331e+04,1.457e+02,1.392e+04
10.9,4.968e+02,1.755e+04,1.560e+02,1.820e+04
12.5,4.930e+02,2.257e+04,1.883e+02,2.325e+04
14.0,4.761e+02,2.684e+04,2.160e+02,2.753e+04
15.6,4.856e+02,3.278e+04,2.059e+02,3.347e+04
17.2,4.012e+02,4.016e+04,2.031e+02,4.076e+04
18.7,5.063e+02,4.880e+04,1.971e+02,4.951e+04
20.3,4.849e+02,5.784e+04,2.149e+02,5.854e+04
21.9,4.350e+02,6.880e+04,2.234e+02,6.946e+04
23.4,4.897e+02,8.155e+04,2.292e+02,8.227e+04
25.0,6.690e+02,9.635e+04,2.384e+02,9.726e+04
26.5,7.738e+02,1.122e+05,2.079e+02,1.132e+05
28.1,6.121e+02,1.261e+05,2.011e+02,1.269e+05
29.7,5.694e+02,1.389e+05,1.979e+02,1.396e+05
31.2,6.124e+02,1.563e+05,1.994e+02,1.571e+05
32.8,7.533e+02,1.780e+05,1.577e+02,1.789e+05
34.3,7.576e+02,2.028e+05,1.557e+02,2.037e+05
35.9,7.242e+02,2.303e+05,1.706e+02,2.312e+05
37.5,8.080e+02,2.621e+05,2.226e+02,2.632e+05
39.0,7.881e+02,2.989e+05,3.093e+02,3.000e+05
40.6,7.577e+02,3.401e+05,4.107e+02,3.413e+05
42.1,7.868e+02,3.862e+05,4.230e+02,3.874e+05
43.7,9.286e+02,4.390e+05,3.669e+02,4.403e+05
45.3,1.103e+03,5.001e+05,3.287e+02,5.015e+05
46.8,1.271e+03,5.745e+05,3.050e+02,5.761e+05
48.4,1.503e+03,6.578e+05,3.435e+02,6.597e+05
50.0,1.710e+03,7.620e+05,4.236e+02,7.642e+05
51.5,1.771e+03,8.952e+05,5.310e+02,8.975e+05
53.1,1.771e+03,1.046e+06,5.918e+02,1.048e+06
54.6,1.645e+03,1.211e+06,6.947e+02,1.213e+06
56.2,1.618e+03,1.378e+06,8.954e+02,1.380e+06
57.8,1.741e+03,1.568e+06,1.180e+03,1.571e+06
59.3,2.187e+03,1.808e+06,1.891e+03,1.812e+06
60.9,2.676e+03,2.111e+06,2.826e+03,2.117e+06
62.4,3.366e+03,2.457e+06,2.820e+03,2.463e+06
64.0,3.989e+03,2.926e+06,2.083e+03,2.932e+06
65.6,4.375e+03,3.645e+06,2.236e+03,3.652e+06
67.1,5.134e+03,4.817e+06,3.914e+03,4.826e+06
68.7,6.702e+03,6.775e+06,7.826e+03,6.789e+06
70.2,9.587e+03,1.040e+07,1.413e+04,1.042e+07
71.8,1.492e+04,1.765e+07,2.512e+04,1.769e+07
73.4,2.754e+04,2.737e+07,3.294e+04,2.743e+07
