freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.518e+03,1.719e+02,3.824e+01,1.728e+03
1.6,1.155e+03,5.565e+02,8.347e+01,1.795e+03
3.1,4.105e+02,6.886e+02,7.766e+01,1.177e+03
4.7,1.806e+03,7.620e+02,8.302e+01,2.651e+03
6.3,5.159e+03,8.500e+02,8.047e+01,6.090e+03
7.8,7.533e+03,1.130e+03,8.456e+01,8.747e+03
9.4,1.014e+04,1.134e+03,7.578e+01,1.135e+04
11.0,1.385e+04,1.370e+03,7.788e+01,1.530e+04
12.6,1.864e+04,1.828e+03,1.039e+02,2.058e+04
14.1,2.519e+04,2.412e+03,1.249e+02,2.773e+04
15.7,3.579e+04,3.197e+03,1.149e+02,3.910e+04
17.3,4.329e+04,3.347e+03,1.168e+02,4.675e+04
18.8,4.202e+04,1.934e+03,1.566e+02,4.411e+04
20.4,4.813e+04,2.418e+03,1.393e+02,5.069e+04
22.0,6.003e+04,3.624e+03,1.090e+02,6.377e+04
23.5,7.335e+04,4.413e+03,9.573e+01,7.786e+04
25.1,8.651e+04,4.941e+03,1.058e+02,9.155e+04
26.7,9.944e+04,5.394e+03,1.246e+02,1.050e+05
28.2,1.145e+05,6.009e+03,1.214e+02,1.206e+05
29.8,1.366e+05,6.924e+03,1.147e+02,1.436e+05
31.4,1.662e+05,7.923e+03,1.137e+02,1.743e+05
33.0,1.905e+05,8.733e+03,1.213e+02,1.994e+05
34.5,2.142e+05,9.721e+03,1.339e+02,2.240e+05
36.1,2.493e+05,1.147e+04,1.403e+02,2.609e+05
37.7,2.988e+05,1.365e+04,1.380e+02,3.126e+05
39.2,3.513e+05,1.583e+04,1.684e+02,3.673e+05
40.8,4.073e+05,1.779e+04,2.342e+02,4.254e+05
42.4,5.011e+05,2.167e+04,2.934e+02,5.231e+05
43.9,6.426e+05,2.677e+04,2.387e+02,6.696e+05
45.5,8.139e+05,3.337e+04,1.556e+02,8.474e+05
47.1,9.755e+05,4.059e+04,1.341e+02,1.016e+06
48.7,1.257e+06,5.075e+04,1.466e+02,1.308e+06
50.2,1.788e+06,6.892e+04,2.141e+02,1.857e+06
51.8,1.955e+06,7.724e+04,3.817e+02,2.033e+06
53.4,1.069e+06,5.544e+04,6.008e+02,1.125e+06
54.9,2.038e+06,1.043e+05,9.885e+02,2.144e+06
56.5,3.928e+06,1.911e+05,1.565e+03,4.120e+06
58.1,4.380e+06,2.015e+05,2.509e+03,4.584e+06
59.6,3.769e+06,1.596e+05,7.026e+03,3.936e+06
61.2,2.926e+06,1.094e+05,1.470e+04,3.050e+06
62.8,2.416e+06,7.445e+04,1.933e+04,2.510e+06
64.3,2.061e+06,5.188e+04,2.072e+04,2.134e+06
65.9,1.683e+06,3.742e+04,2.041e+04,1.741e+06
67.5,1.378e+06,3.210e+04,1.979e+04,1.430e+06
69.1,1.184e+06,2.989e+04,2.015e+04,1.234e+06
70.6,1.026e+06,2.911e+04,2.176e+04,1.077e+06
72.2,8.937e+05,2.900e+04,2.593e+04,9.486e+05
73.8,7.258e+05,2.926e+04,3.273e+04,7.878e+05
75.3,5.311e+05,2.846e+04,4.452e+04,6.041e+05
76.9,3.565e+05,2.381e+04,7.988e+04,4.602e+05
78.5,1.962e+05,1.570e+04,2.019e+05,4.138e+05
80.0,1.148e+05,1.332e+04,4.049e+05,5.330e+05
81.6,1.764e+05,1.995e+04,3.181e+05,5.144e+05
83.2,1.911e+05,2.478e+04,1.591e+05,3.749e+05
84.7,1.419e+05,2.506e+04,9.556e+04,2.625e+05
86.3,9.537e+04,2.267e+04,6.437e+04,1.824e+05
87.9,6.032e+04,1.373e+04,5.242e+04,1.265e+05
89.5,4.181e+04,5.776e+03,4.721e+04,9.479e+04
91.0,4.145e+04,3.372e+03,4.293e+04,8.775e+04
92.6,4.721e+04,3.077e+03,3.833e+04,8.861e+04
94.2,6.439e+04,3.199e+03,3.542e+04,1.030e+05
95.7,1.104e+05,7.402e+03,3.566e+04,1.535e+05
97.3,1.528e+05,1.966e+04,3.553e+04,2.080e+05
98.9,1.766e+05,3.435e+04,3.725e+04,2.482e+05
100.4,1.916e+05,4.615e+04,3.824e+04,2.760e+05
102.0,1.978e+05,5.438e+04,3.804e+04,2.902e+05
103.6,1.969e+05,6.661e+04,3.984e+04,3.034e+05
105.1,1.900e+05,8.107e+04,4.048e+04,3.115e+05
106.7,1.963e+05,9.313e+04,3.862e+04,3.280e+05
108.3,2.358e+05,1.015e+05,3.396e+04,3.712e+05
109.9,3.032e+05,1.093e+05,2.858e+04,4.411e+05
111.4,3.829e+05,1.243e+05,2.378e+04,5.310e+05
113.0,4.525e+05,1.462e+05,1.949e+04,6.182e+05
114.6,5.232e+05,1.572e+05,1.612e+04,6.965e+05
116.1,6.075e+05,1.496e+05,1.320e+04,7.703e+05
117.7,6.885e+05,1.478e+05,1.002e+04,8.463e+05
119.3,7.854e+05,1.668e+05,7.195e+03,9.594e+05
120.8,8.983e+05,1.924e+05,4.978e+03,1.096e+06
122.4,1.007e+06,2.006e+05,3.444e+03,1.211e+06
124.0,1.008e+06,1.821e+05,2.415e+03,1.192e+06
125.5,8.003e+05,1.307e+05,1.421e+03,9.324e+05
127.1,6.084e+05,9.310e+04,7.242e+02,7.022e+05
128.7,5.686e+05,8.783e+04,4.381e+02,6.569e+05
130.3,6.121e+05,9.832e+04,4.116e+02,7.108e+05
131.8,6.903e+05,1.149e+05,5.708e+02,8.058e+05
133.4,5.354e+05,6.834e+04,4.793e+02,6.042e+05
135.0,3.761e+05,2.501e+04,3.241e+02,4.014e+05
136.5,3.359e+05,2.002e+04,3.495e+02,3.563e+05
138.1,3.414e+05,1.987e+04,4.039e+02,3.617e+05
139.7,3.688e+05,2.011e+04,4.968e+02,3.894e+05
141.2,3.293e+05,1.778e+04,4.645e+02,3.476e+05
142.8,2.818e+05,1.558e+04,4.228e+02,2.978e+05
144.4,2.398e+05,1.376e+04,3.684e+02,2.540e+05
146.0,2.194e+05,1.248e+04,3.472e+02,2.322e+05
147.5,2.343e+05,1.253e+04,4.113e+02,2.472e+05
149.1,2.043e+05,1.058e+04,4.009e+02,2.153e+05
150.7,1.892e+05,8.827e+03,3.524e+02,1.984e+05
152.2,1.877e+05,8.923e+03,3.316e+02,1.970e+05
153.8,1.659e+05,7.979e+03,3.289e+02,1.742e+05
